field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
JA 382,"Florencia Senoret, Juan Pablo Acosta (Spiniflores)",Rhipsalis baccifera,"Dique la Cienaga, north of Salta,  ARGENTINA, 1.250 m",NA,NA,NA,clcactus,"Dique la Cienaga, Salta, Argentina",direct,-25.12328,-65.9308
GJA 7.32,Gérard Ardisson,Rhipsalis baccifera,"Salvador, Bahia, Brazil",NA,01/05/07,NA,clcactus,"Salvador, Bahia, Brazil",direct,-12.9822499,-38.4812772
GM 568,Grzegorz Matuszewski,Rhipsalis baccifera,Mexicó : Tamaulipasaulipas (Tamaulipas),NA,2002,NA,clcactus,"Tamaulipas, Mexico",direct,23.9891553,-98.7026825
IB08714,Ingo Breuer,Rhipsalis baccifera,"South Africa  :  (Oribi Gorge, 396)",NA,04/02/2002,NA,clcactus,"Oribi Gorge, KwaZulu-Natal, South Africa",direct,-30.7054202,30.2690701
JAA 376,Jean André Audissou,Rhipsalis baccifera,"Mt Ibity, Madagascar",NA,August 2003,NA,clcactus,"Mount Ibity, Madagascar",direct,-20.11667,47.01667
JM 75837,Jens Madsen,Rhipsalis baccifera,"Ecuador :  (Zamora to Loja km 8, Zamora-Chinchipe, 1200m)",NA,NA,NA,clcactus,"Zamora, Zamora-Chinchipe, Ecuador",direct,-4.0042008,-78.9577754
JM 75840,Jens Madsen,Rhipsalis baccifera,"Ecuador :  (Yanzatza s 5km, Zamora-Chinchipe, 950m)",NA,NA,NA,clcactus,"Yanzatza, Zamora-Chinchipe, Ecuador",offset_adjusted,-3.675377680295937,-78.58843469999998
pm 21,Ken Preston-Mafham,Rhipsalis baccifera,"Jalapa, Veracruz, Mexicó",NA,NA,NA,clcactus,"Jalapa, Veracruz, Mexico",direct,19.4880323,-96.8080013
HU 1099,"Leopoldo Horst, later, Kurt-Ingo Horst",Rhipsalis baccifera,"Loreto, Rio Grande do Sul, Brazil",NA,NA,NA,clcactus,"Loreto, Rio Grande do Sul, Brazil",direct,-29.7520432,-54.9513224
MZ 561,Milan Zachar,Rhipsalis baccifera,"La Union, Puebla, Mexicó",NA,NA,NA,clcactus,"La Union, Puebla, Mexico",direct,20.264167,-97.875556
TB 421.2,Tomasz Blaczkowski,Rhipsalis baccifera,"Argentina : Salta (Cinco Duraznos  N of El Jardin, 1244 m)",NA,2009/01/22,NA,clcactus,"El Jardin, Salta, Argentina",direction_only,-26.0796564,-65.3931803
