field_number,collector,species,locality,date,notes
PH 258.03,Paul Hoxey,Eulychnia taltalensis,"South side of Quebrada de San Ramón, Antofagasta, Chile 300-720m",12/02/01,NA
PH 259.03,Paul Hoxey,Eulychnia taltalensis,"Estación Breas, Antofagasta, Chile 660-880m",13/02/01,NA
PH 260.03,Paul Hoxey,Eulychnia taltalensis,"South of Taltal along coast, Antofagasta, Chile 70-160m",13/02/01,NA
PH 442.06,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Botija, 110-650m)",21/11/02,Same locality as PH252
PH 443.03,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Iscuña, 80-400m)",22/11/02,NA
PH 445.03,Paul Hoxey,Eulychnia taltalensis,"Between Punta Plata and Paposo, Antofagasta, Chile 70m",22/11/02,Same locality as PH255
PH 446.04,Paul Hoxey,Eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile 630-730m",22/11/02,Same locality as PH256
PH 447.03,Paul Hoxey,Eulychnia taltalensis,"Hills above Paposo, Antofagasta, Chile 780m",23/11/02,NA
PH 448.03,Paul Hoxey,Eulychnia taltalensis,"Coast North of Taltal, Antofagasta, Chile 30m",23/11/02,NA
PH 449.08,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada de San Ramón, 260-920m)",23/11/02,Same locality as PH258
PH 656.05,Paul Hoxey,Eulychnia taltalensis,"Punta Tragagente, quebrada North of Botija, Antofagasta, Chile 440m",22/11/06,NA
PH 658.05,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Iscuña, 410-970m)",23/11/06,NA
PH 659.03,Paul Hoxey,Eulychnia taltalensis,"North of Caleta Olivia, North of Taltal, Antofagasta, Chile 270m",24/11/06,NA
PH 660.05,Paul Hoxey,Eulychnia taltalensis,"Coastal hills North of Paposo, Antofagasta, Chile 1220m",24/11/06,NA
PH 662.03,Paul Hoxey,Eulychnia taltalensis,"Quebrada Bandurrias, South of Paposo, Antofagasta, Chile 770-860m",25/11/06,NA
PH 663.04,Paul Hoxey,Eulychnia taltalensis,"Quebrada Agua de Cascabeles, Antofagasta, Chile 560-780m",26/11/06,NA
PH 664.03,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada Taltal, inland from Taltal, 560m)",26/11/06,NA
PH 665.04,Paul Hoxey,Eulychnia taltalensis,"Chile : 02 Antofagasta (Quebrada de San Ramón, 30-580m)",27/11/06,NA
KP 956,Petr Kupcak,Eulychnia taltalensis,"Chile : Antofagasta (Taltal City back to Ruta 5 Norte , off road right side 293 m)",2008,LONG BROWN TILL BLACK SPINY FORM
KBC 956,Petr Kupcak + Josef Bis,Eulychnia taltalensis,"Chile : Antofagasta (Taltal City back to Ruta 5 Norte , off road right side 293 m)",2008,LONG BROWN TILL BLACK SPINY FORM
RAP 321,Raimondo Paladini,Eulychnia taltalensis,"Chile : Antofagasta (Taltal, Monte Perales 500 mt)",jan.- feb. 2014.,NA
RD 53,Rodrigo Dacal Barlow,Eulychnia taltalensis,"Chile : Antofagasta II (norte taltal, 10-100 m)",15/02/2011,NA
