field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
CS 365.1_125,Chris Sherrah,Melocactus salvadorensis,Brazil : Bahia (Jequie),NA,21/11/2009,NA,clcactus,"Jequié, Bahia, Brazil",direct,-13.8604033,-40.0719627
CS 366.13,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho, 260 m)",NA,22/11/2009,NA,clcactus,"Espinho, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 367.5,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho 2, 290 m)",NA,22/11/2009,NA,clcactus,"Espinho, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 368.3,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho 3, 343 m)",NA,22/11/2009,NA,clcactus,"Espinho, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 371.4_135,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Rio de Contas, 925 m)",NA,24/11/2009,NA,clcactus,"Rio de Contas, Bahia, Brazil",direct,-13.5803333,-41.8112152
GJA 7.09,Gérard Ardisson,Melocactus salvadorensis,"ItiÃ®ra, Bahia, Brazil",NA,01/05/07,NA,clcactus,"Itiúba, Bahia, Brazil",direct,-10.6917496,-39.8532886
GD 100-1,Gérard Delanoy,Melocactus salvadorensis,"East of Sussuarana, Bahia, Brazil",NA,NA,NA,clcactus,"Sussuarana, Bahia, Brazil",direction_only,-14.1598189,-41.2063284
GD 101-1,Gérard Delanoy,Melocactus salvadorensis,"East of Sussuarana, 1 km after GD100, Bahia, Brazil",NA,NA,NA,clcactus,"Sussuarana, Bahia, Brazil",direction_only,-14.1598189,-41.2063284
GD 105-2,Gérard Delanoy,Melocactus salvadorensis,"South-West of Jequié, Bahia, Brazil",NA,NA,NA,clcactus,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
GD 106-2,Gérard Delanoy,Melocactus salvadorensis,"John's Quarry, South-West of Jequié, Rio",NA,NA,NA,clcactus,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
"GC 483,05",Graham Charles,Melocactus salvadorensis,Brazil :  (W. Jequié),NA,NA,NA,clcactus,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
"GC 486,05",Graham Charles,Melocactus salvadorensis,Brazil :  (Porto Alegre),NA,NA,NA,clcactus,"Porto Alegre, Maracás, Bahia, Brazil",direct,-13.842062,-40.6208841
"GC 686,02",Graham Charles,Melocactus salvadorensis,Brazil :  (Sussuarana),NA,NA,NA,clcactus,"Sussuarana, Tanhaçu, Bahia, Brazil",direct,-14.1598189,-41.2063284
"GC 1022,02",Graham Charles,Melocactus salvadorensis,Brazil :  (Sussuarana),NA,NA,NA,clcactus,"Sussuarana, Tanhaçu, Bahia, Brazil",direct,-14.1598189,-41.2063284
"GC 1048,05",Graham Charles,Melocactus salvadorensis,Brazil :  (West of Jequié),NA,NA,NA,clcactus,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
"GC 1050,02",Graham Charles,Melocactus salvadorensis  aff.,Brazil :  (Milagres),NA,NA,NA,clcactus,"Milagres, Bahia, Brazil",direct,-12.864635,-39.861092
pm 126,Ken Preston-Mafham,Melocactus salvadorensis,"6km South of Milagres, Brazil",NA,NA,NA,clcactus,"Milagres, Bahia, Brazil",offset_adjusted,-12.918594296355122,-39.861092
pm 129,Ken Preston-Mafham,Melocactus salvadorensis,"Jequie, Brazil",NA,NA,NA,clcactus,"Jequié, Bahia, Brazil",direct,-13.8604033,-40.0719627
HU 301,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"Bananeiras, Bahia, Brazil",NA,24/05/1905,NA,clcactus,"Bananeiras, Bahia, Brazil",direct,-10.608216,-40.31353
HU 535,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"2 km North-West of Jacaraci, Bahia, Brazil",NA,NA,NA,clcactus,"Jacaraci, Bahia, Brazil",offset_adjusted,-14.833034497842862,-42.446052664736456
HU 576,"Leopoldo Horst, later, Kurt-Ingo Horst",Melocactus salvadorensis,"Licinio de Almeida, Bahia, Brazil",NA,NA,NA,clcactus,"Licínio de Almeida, Bahia, Brazil",direct,-14.6835152,-42.5064545
NPT 1523,Nigel Paul Taylor,Melocactus salvadorensis,"Brumado w 36km, BR 030 towards Caetite, Bahia, Brazil 660m",NA,02/02/91,NA,clcactus,"BR-030, Bahia, Brazil",direct,-14.3629822,-40.3421902
NPT 1542,Nigel Paul Taylor,Melocactus salvadorensis,"BR 030 25km along towards Sussuarana, Bahia, Brazil 400m",NA,03/02/91,NA,clcactus,"BR-030, Bahia, Brazil",direct,-14.3629822,-40.3421902
NPT 1545,Nigel Paul Taylor,Melocactus salvadorensis,"BR 030 54km along towards Sussuarana, Bahia, Brazil 400m",NA,03/02/91,NA,clcactus,"BR-030, Bahia, Brazil",direct,-14.3629822,-40.3421902
NPT 1549,Nigel Paul Taylor,Melocactus salvadorensis,"Contendas do Sincorá 34km towards MaracÃ¡s, Bahia, Brazil 380m",NA,04/02/91,NA,clcactus,"Contendas do Sincorá, Bahia, Brazil",direct,-13.7612283,-41.042131500000004
NPT 1553,Nigel Paul Taylor,Melocactus salvadorensis,"Porto Alegre e 6-7km, Bahia, Brazil 300m",NA,04/02/91,NA,clcactus,"Porto Alegre, Bahia, Brazil",offset_adjusted,-13.842054652349049,-40.56067979805238
NPT 1580,Nigel Paul Taylor,Melocactus salvadorensis,"Iañu w 5.5km, Bahia, Brazil 300m",NA,07/02/91,NA,clcactus,"Iaçu, Bahia, Brazil",offset_adjusted,-12.767202562192978,-40.26135930527715
NPT 1609,Nigel Paul Taylor,Melocactus salvadorensis,"Baixa Grande e 42.5km, BA 052, Bahia, Brazil 310m",NA,09/02/91,NA,clcactus,"Baixa Grande, Bahia, Brazil",offset_adjusted,-11.962823983920154,-39.77505685213918
NPT 1611,Nigel Paul Taylor,Melocactus salvadorensis,"Ipirá e 24km, BA 052, Bahia, Brazil 300m",NA,09/02/91,NA,clcactus,"Ipirá, Bahia, Brazil",offset_adjusted,-12.157746116864384,-39.52087131491938
PCO 1188-01,Philippe Corman,Melocactus salvadorensis,Brazil : Bahia (Feira de Santana-Morro do Chapeu),NA,2008,NA,clcactus,"Feira de Santana, Bahia, Brazil",direct,-12.2578934,-38.9598047
